,TI203,PI215,PI216,PI218,MP-1101,PI255A,TI405,TI401,FT402,T_wbulb,SSC_gros
1,180.48164369999998,8.881835938,8.850585938,9.065429688,56.96311188,0.148376465,51.17797852,27.63671875,7362.84082,16.24454308,8.068487167
2,180.35977169999998,8.923828125,8.884765625,9.096679688,57.24377441,0.15020752,51.23901367,27.78320313,6879.880859000001,16.13844299,8.034687996
3,180.3292999,8.931640625,8.893554688,9.090820313,57.18530273,0.149597168,51.33056641,27.79541016,7206.157715,16.23255157,8.036982536
4,180.3292999,8.920898438,8.887695313,9.096679688,57.1969986,0.149414063,51.31225586,27.78320313,7182.40332,16.13125992,8.032251358
5,180.3292999,8.928710938,8.891601563,9.088867188,57.1969986,0.14965820300000002,51.23291016,27.734375,7300.821776999999,16.16640472,8.048653603
6,180.26835630000002,8.932617188,8.895507813,9.115234375,57.26716614,0.14978027300000002,51.287841799999995,27.80761719,7277.376465,16.16205215,8.040942192000001
9,180.35977169999998,8.907226563,8.870117188,9.0859375,57.11513901,0.150817871,51.45263672,28.03344727,7157.716797,16.69640732,8.030155182
10,180.3292999,8.900390625,8.865234375,9.0625,56.96311188,0.14904785199999998,51.22070313,27.78930664,7150.891602,16.06500626,8.034171104
11,180.26835630000002,8.91015625,8.872070313,9.0859375,57.11513901,0.149902344,51.32446289,27.91748047,7250.067383,16.62813568,8.047997475
12,180.2988281,8.91796875,8.879882813,9.083984375,57.13852692,0.150695801,51.40991211,27.91137695,6986.838867,16.24025917,8.035611153
53,180.48164369999998,8.8671875,8.83203125,9.040039063,57.12683105,0.143493652,50.48828125,27.41088867,7389.73291,15.88862896,8.049295425
54,180.39022830000002,8.873046875,8.841796875,9.065429688,57.05666733,0.144897461,50.65307617,27.62451172,7302.493651999999,15.76561069,8.067079544
69,180.4968719,8.963867188,8.926757813,9.141601563,57.15022278,0.15447998,52.13012695,28.46069336,7210.391602,17.34936905,8.060451508
70,180.4968719,8.921875,8.885742188,9.081054688,57.06835938,0.150512695,51.57470703,28.0456543,7342.503418000001,16.4464283,8.052296638
71,180.39022830000002,8.920898438,8.881835938,9.079101563,57.10344315,0.149841309,51.48925781,27.96630859,7378.160645,16.88687134,8.077899933
98,180.375,8.87890625,8.845703125,9.064453125,57.11513901,0.146606445,50.87280273,27.69775391,7098.635254000001,15.90693569,8.048811913
99,180.26835630000002,8.907226563,8.870117188,9.076171875,57.11513901,0.14770507800000002,50.95825195,27.72216797,7204.887206999999,16.22530174,8.069969177
104,180.4359436,8.901367188,8.8671875,9.083984375,57.02158356,0.149841309,51.30004883,28.05786133,7510.978515999999,16.45225716,8.027687073
106,180.4664001,8.947265625,8.912109375,9.125,57.20869446,0.15112304699999998,51.641845700000005,28.30810547,7231.100586,16.96573257,8.025273323
107,180.375,8.950195313,8.912109375,9.1328125,57.15022278,0.152404785,51.79443359,28.37524414,7297.059081999999,17.65821838,8.053922652999999
108,180.40547180000002,8.96484375,8.926757813,9.119140625,57.04497147,0.156433105,52.45361328,28.88793945,7254.696289,18.28392792,8.04242897
109,180.34452819999998,8.96875,8.93359375,9.143554688,57.10344315,0.155944824,52.33154297,28.86962891,7170.070801000001,18.23721886,8.036202431
112,180.4664001,8.948242188,8.912109375,9.106445313,57.0917511,0.151672363,51.74560547,28.34472656,7111.520995999999,17.0348587,8.020604134
113,180.375,8.932617188,8.891601563,9.083984375,57.0917511,0.150512695,51.50756836,28.19213867,7332.9375,16.64027977,8.07443428
114,180.4207001,8.897460938,8.864257813,9.078125,57.02158356,0.149597168,51.31835938,28.01513672,7058.541015999999,16.79029083,8.028837204
115,180.4511719,8.903320313,8.869140625,9.078125,57.22038651,0.148254395,51.251220700000005,27.91748047,7161.553223000001,16.73485184,8.042896271
116,180.4968719,8.909179688,8.873046875,9.067382813,57.18530273,0.149414063,51.22680664,27.96020508,7065.886719,16.53090668,8.037075996
118,180.4968719,8.891601563,8.85546875,9.0703125,57.08005524,0.146972656,50.98266602,27.75268555,7077.538573999999,16.18297768,8.038478851
119,180.40547180000002,8.865234375,8.833007813,9.041015625,56.93972397,0.145812988,50.88500977,27.6550293,7068.478026999999,16.11123085,8.059226036
120,180.40547180000002,8.87109375,8.834960938,9.04296875,57.04497147,0.14587402300000002,50.87280273,27.66723633,7400.875,15.61134338,8.077652931
123,180.5273438,8.8671875,8.834960938,9.055664063,57.0098877,0.146911621,50.95825195,27.71606445,7281.568359000001,15.87842369,8.046488762000001
124,180.5273438,8.87890625,8.848632813,9.063476563,57.22038651,0.144470215,50.72021484,27.50244141,7368.641113,15.73859882,8.021165847999999
125,180.4968719,8.862304688,8.831054688,9.041015625,57.10344315,0.144714355,50.65307617,27.48413086,7347.904297,15.70285797,8.036194801
126,180.4359436,8.849609375,8.8203125,9.057617188,57.0917511,0.144470215,50.64697266,27.45361328,7625.496094,15.64715195,8.044492722000001
